task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
40	0b/56ed30	23852	ANNOTATE_GENOMES (Bvulgatus_010)	CACHED	0	2026-08-20 14:21:53.631	23m 39s	23m 34s	100.9%	823.9 MB	1 GB	102.6 GB	206.6 MB
43	e1/316f8a	10254	ASSEMBLY_QC (Bvulgatus_016)	CACHED	0	2026-08-20 14:55:11.016	7.8s	596ms	131.3%	23.1 MB	1.2 GB	1.6 MB	420 B
44	d3/900903	5516	ANNOTATE_GENOMES (Bvulgatus_011)	CACHED	0	2026-08-20 14:24:08.741	27m 15s	27m 8s	103.2%	827.2 MB	1 GB	114 GB	221.3 MB
45	8c/76fc6d	16888	ANNOTATE_GENOMES (Bvulgatus_012)	CACHED	0	2026-08-20 14:25:34.910	29m 36s	29m 31s	102.8%	1 GB	1.2 GB	122.6 GB	228.2 MB
46	a2/ef3a1d	30854	ANNOTATE_GENOMES (Bvulgatus_013)	CACHED	0	2026-08-20 14:46:15.448	29m 10s	29m 2s	103.6%	835 MB	4 GB	118.8 GB	222.7 MB
47	14/578a98	10982	ANNOTATE_GENOMES (Bvulgatus_014)	CACHED	0	2026-08-20 14:55:19.274	26m 33s	26m 28s	101.6%	1 GB	1.2 GB	120.2 GB	223.1 MB
48	c2/28ab02	3737	ANNOTATE_GENOMES (Bvulgatus_015)	CACHED	0	2026-08-20 14:53:40.610	27m 19s	27m 7s	102.2%	824.3 MB	1 GB	125.2 GB	226 MB
49	b3/30f4f0	10850	ANNOTATE_GENOMES (Bvulgatus_016)	CACHED	0	2026-08-20 15:15:26.126	15m 51s	15m 45s	101.7%	743.5 MB	4.2 GB	115.4 GB	214.6 MB
50	0a/e8bc78	30083	BUILD_PANGENOME (panaroo)	CACHED	0	2026-08-20 15:31:30.438	2h 3m 31s	2h 3m 28s	193.8%	871 MB	3.7 GB	177.9 GB	1 GB
51	ce/c669d2	16424	BUILD_PHYLOGENY (iqtree)	CACHED	0	2026-08-20 17:35:07.911	6m 21s	6m 18s	195.8%	282.7 MB	360.4 MB	46 MB	57.5 MB
52	58/96868b	22712	MAKE_FIGURES (figures)	CACHED	0	2026-08-20 18:45:28.110	28.5s	10.6s	54.1%	129.7 MB	904.8 MB	121.6 MB	274.6 KB
53	87/da3b3b	23378	WRITE_REPORT (report)	CACHED	0	2026-08-20 18:45:56.822	4.3s	42ms	52.2%	3.2 MB	7.7 MB	127.7 KB	2.1 KB
